Agency,State,created on,Amount,Fee,Modified on,Total,misc notes
CO Agency 19_SN only,CO,2020-04-30T18:12:34Z,150.00,8.25,2020-04-30T18:15:24Z,158.25,
CO Agency 19_SN only,CO,2020-04-30T18:12:34Z,150.00,8.25,2020-04-30T18:26:42Z,158.25,
CO Agency 19_SN only,CO,2020-04-30T18:12:34Z,150.00,8.25,2020-04-30T18:27:37Z,158.25,
CO Agency 19_SN only,CO,2020-04-30T18:23:00Z,25.00,1.38,2020-05-01T01:51:46Z,26.38,
CO Agency 19_SN only,CO,2020-04-30T18:23:00Z,25.00,1.38,2020-05-01T02:02:39Z,26.38,
CO Agency 19_SN only,CO,2020-04-30T18:23:00Z,25.00,1.38,2020-05-01T02:03:36Z,26.38,
CO Agency 19_SN only,CO,2020-04-30T18:23:00Z,25.00,1.38,2020-05-01T02:18:23Z,26.38,
CO Agency 19_SN only,CO,2020-04-30T18:23:00Z,25.00,1.38,2020-05-01T02:23:46Z,26.38,
CO Agency 19_SN only,CO,2020-04-30T18:23:00Z,25.00,1.38,2020-05-01T02:41:36Z,26.38,
CO Agency 19_SN only,CO,2020-04-30T18:23:00Z,25.00,1.38,2020-05-01T02:45:00Z,26.38,
CO Agency 19_SN only,CO,2020-04-30T18:23:00Z,25.00,1.38,2020-05-01T12:46:34Z,26.38,
CO Agency 19_SN only,CO,2020-04-30T18:23:00Z,25.00,1.38,2020-05-18T19:06:26Z,26.38,
CO Agency 19_SN only,CO,2020-04-30T18:23:00Z,25.00,1.38,2020-05-18T19:09:23Z,26.38,
CO Agency 19_SN only,CO,2020-04-30T18:23:32Z,50.00,2.75,2020-05-01T01:53:34Z,52.75,
CO Agency 19_SN only,CO,2020-04-30T18:23:32Z,50.00,2.75,2020-05-01T02:03:35Z,52.75,
CO Agency 19_SN only,CO,2020-04-30T18:23:32Z,50.00,2.75,2020-05-05T16:00:52Z,52.75,
CO Agency 19_SN only,CO,2020-04-30T18:24:08Z,25.00,1.38,2020-05-01T01:55:12Z,26.38,
CO Agency 19_SN only,CO,2020-04-30T18:24:08Z,25.00,1.38,2020-05-01T01:57:37Z,26.38,
CO Agency 19_SN only,CO,2020-04-30T18:24:43Z,50.00,2.75,2020-05-05T16:00:34Z,52.75,
CO Agency 19_SN only,CO,2020-04-30T18:29:00Z,100.00,5.50,2020-05-05T16:00:16Z,105.50,
CO Agency 19_SN only,CO,2020-05-05T16:02:15Z,25.00,1.38,2020-05-18T23:49:01Z,26.38,
CO Agency 19_SN only,CO,2020-05-05T16:02:15Z,25.00,1.38,2020-05-18T23:51:21Z,26.38,
CO Agency 19_SN only,CO,2020-05-05T16:03:09Z,25.00,1.38,2020-05-18T23:51:42Z,26.38,
CO Agency 19_SN only,CO,2020-05-05T16:03:09Z,25.00,1.38,2020-05-18T23:52:49Z,26.38,
CO Agency 19_SN only,CO,2020-05-05T16:03:38Z,25.00,1.38,2020-05-18T23:53:08Z,26.38,
CO Agency 19_SN only,CO,2020-05-05T16:03:38Z,25.00,1.38,2020-05-18T23:53:57Z,26.38,
CO Agency 19_SN only,CO,2020-05-05T16:04:07Z,25.00,1.38,2020-06-04T20:55:49Z,26.38,
CO Agency 19_SN only,CO,2020-05-05T16:04:07Z,25.00,1.38,2020-06-04T21:08:29Z,26.38,
CO Agency 19_SN only,CO,2020-05-05T16:04:42Z,25.00,1.38,2020-06-04T20:56:28Z,26.38,
CO Agency 19_SN only,CO,2020-05-05T16:04:42Z,25.00,1.38,2020-06-04T21:11:31Z,26.38,
CO Agency 19_SN only,CO,2020-05-05T16:04:42Z,25.00,1.38,2020-06-04T21:13:33Z,26.38,
CO Agency 19_SN only,CO,2020-05-05T16:05:05Z,25.00,1.38,2020-06-08T18:10:52Z,26.38,
CO Agency 19_SN only,CO,2020-05-05T16:05:05Z,25.00,1.38,2020-06-08T18:11:42Z,26.38,
CO Agency 19_SN only,CO,2020-05-05T16:05:29Z,25.00,1.38,2020-06-28T13:57:39Z,26.38,
CO Agency 19_SN only,CO,2020-05-05T16:05:29Z,25.00,1.38,2020-06-28T13:58:25Z,26.38,
CO Agency 19_SN only,CO,2020-05-05T16:06:05Z,25.00,1.38,2020-07-09T19:12:05Z,26.38,
CO Agency 19_SN only,CO,2020-05-05T16:06:05Z,25.00,1.38,2020-07-09T19:12:41Z,26.38,
